employee_id,papi_a,papi_b,papi_c,papi_d,papi_e,papi_f,papi_g,papi_i,papi_k,papi_l,papi_n,papi_o,papi_p,papi_r,papi_s,papi_t,papi_v,papi_w,papi_x,papi_z
EMP100001,3.0,1.0,7.0,4.0,2.0,2.0,2.0,4.0,6.0,7.0,8.0,9.0,5.0,3.0,3.0,6.0,7.0,1.0,6.0,9.0
EMP100002,2.0,4.918201516793066,4.0,2.0,5.0,7.0,2.0,8.0,4.0,5.099836333878887,9.0,5.0,3.0,1.0,3.0,9.0,9.0,1.0,4.0,6.0
EMP100003,5.030711206896552,8.0,9.0,2.0,6.0,5.0,3.0,8.0,5.0,3.0,9.0,1.0,8.0,9.0,1.0,1.0,7.0,7.0,4.0,3.0
EMP100004,5.0,4.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0,3.0,7.0,6.0,7.0,1.0,2.0,9.0,2.0,1.0,3.0,6.0
EMP100005,5.030711206896552,5.0,4.0,6.0,6.0,7.0,3.0,5.036314363143632,5.0,1.0,5.09277238403452,4.892915980230643,6.0,2.0,8.0,1.0,8.0,2.0,8.0,9.0
EMP100006,7.0,9.0,6.0,4.0,6.0,1.0,9.0,3.0,6.0,6.0,2.0,4.892915980230643,7.0,3.0,4.0,8.0,6.0,4.98696360673547,5.02094522019334,7.0
EMP100007,1.0,2.0,5.0,2.0,2.0,7.0,1.0,7.0,7.0,2.0,7.0,9.0,9.0,9.0,3.0,3.0,5.0,9.0,5.02094522019334,6.0
EMP100008,5.0,6.0,2.0,4.977813852813853,6.0,3.0,6.0,7.0,4.0,8.0,9.0,1.0,9.0,3.0,7.0,4.9535135135135135,6.0,1.0,2.0,6.0
EMP100009,2.0,3.0,8.0,1.0,4.0,6.0,3.0,4.0,1.0,2.0,9.0,9.0,1.0,6.0,4.994585814834867,6.0,3.0,8.0,7.0,9.0
EMP100010,5.0,7.0,5.0,3.0,6.0,6.0,6.0,7.0,4.0,5.099836333878887,2.0,5.0,5.0,2.0,4.994585814834867,4.9535135135135135,5.0,8.0,3.0,5.0
EMP100011,5.030711206896552,2.0,2.0,5.0,3.0,8.0,9.0,4.0,3.0,5.099836333878887,5.09277238403452,1.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0
EMP100012,4.0,2.0,6.0,7.0,7.0,4.0,1.0,5.0,1.0,7.0,8.0,1.0,5.0,1.0,5.0,1.0,3.0,4.98696360673547,6.0,4.0
EMP100013,3.0,3.0,7.0,9.0,8.0,4.0,4.931536388140162,3.0,3.0,4.0,5.0,1.0,7.0,4.0,3.0,9.0,4.0,2.0,5.02094522019334,7.0
EMP100014,5.0,5.0,9.0,9.0,8.0,5.057158410451824,4.0,7.0,5.0,1.0,8.0,8.0,7.0,5.026344086021505,4.994585814834867,2.0,4.905609492988134,2.0,9.0,2.0
EMP100015,5.030711206896552,5.0,7.0,4.977813852813853,6.0,7.0,3.0,1.0,1.0,6.0,9.0,7.0,9.0,9.0,1.0,5.0,3.0,7.0,2.0,6.0
EMP100016,1.0,2.0,4.86058981233244,3.0,6.0,4.0,3.0,1.0,8.0,5.0,6.0,8.0,9.0,8.0,3.0,2.0,6.0,4.0,7.0,4.976151761517615
EMP100017,4.0,2.0,6.0,5.0,8.0,3.0,7.0,4.0,1.0,1.0,2.0,6.0,6.0,1.0,6.0,1.0,3.0,3.0,5.02094522019334,5.0
EMP100018,1.0,8.0,1.0,6.0,5.0,1.0,6.0,1.0,4.0,6.0,8.0,8.0,7.0,8.0,5.0,9.0,6.0,9.0,9.0,4.976151761517615
EMP100019,2.0,7.0,4.0,7.0,6.0,9.0,9.0,7.0,2.0,1.0,1.0,3.0,9.0,8.0,4.0,3.0,3.0,4.98696360673547,4.0,4.0
EMP100020,3.0,4.918201516793066,6.0,4.977813852813853,1.0,8.0,9.0,1.0,6.0,2.0,7.0,5.0,5.0,5.0,9.0,1.0,4.0,2.0,1.0,9.0
EMP100021,5.0,6.0,2.0,6.0,8.0,5.0,6.0,5.036314363143632,2.0,3.0,9.0,4.0,1.0,6.0,5.0,1.0,2.0,1.0,6.0,2.0
EMP100022,2.0,3.0,7.0,8.0,3.0,7.0,3.0,1.0,5.0158469945355195,6.0,5.09277238403452,7.0,8.0,9.0,5.0,1.0,8.0,5.0,5.02094522019334,2.0
EMP100023,2.0,1.0,7.0,4.0,9.0,4.0,5.0,3.0,3.0,5.0,7.0,2.0,3.0,4.0,4.994585814834867,2.0,6.0,8.0,5.0,1.0
EMP100024,6.0,3.0,5.0,3.0,3.0,9.0,6.0,2.0,1.0,7.0,6.0,5.0,3.0,8.0,8.0,9.0,1.0,2.0,2.0,2.0
EMP100025,8.0,8.0,6.0,7.0,5.065916398713826,2.0,7.0,3.0,5.0158469945355195,9.0,4.0,5.0,8.0,3.0,1.0,2.0,7.0,4.0,7.0,8.0
EMP100026,7.0,8.0,5.0,2.0,6.0,9.0,4.0,1.0,7.0,2.0,7.0,5.0,6.0,4.0,7.0,3.0,5.0,7.0,9.0,4.976151761517615
EMP100027,5.030711206896552,9.0,9.0,4.977813852813853,6.0,2.0,6.0,6.0,5.0,5.0,1.0,6.0,9.0,2.0,1.0,6.0,3.0,5.0,4.0,2.0
EMP100028,2.0,4.918201516793066,2.0,3.0,3.0,9.0,5.0,2.0,3.0,9.0,6.0,1.0,1.0,9.0,3.0,4.0,8.0,9.0,3.0,4.0
EMP100029,3.0,2.0,7.0,4.0,2.0,5.0,6.0,5.036314363143632,1.0,4.0,2.0,2.0,2.0,5.026344086021505,7.0,4.9535135135135135,4.0,3.0,5.02094522019334,9.0
EMP100030,8.0,8.0,4.0,7.0,4.0,8.0,2.0,4.0,4.0,3.0,6.0,2.0,9.0,3.0,4.0,3.0,8.0,2.0,7.0,3.0
EMP100031,5.030711206896552,2.0,2.0,5.0,4.0,2.0,2.0,6.0,5.0,5.0,6.0,4.0,2.0,3.0,6.0,1.0,7.0,5.0,6.0,3.0
EMP100032,6.0,3.0,7.0,3.0,5.065916398713826,6.0,3.0,5.0,3.0,6.0,9.0,4.0,7.0,1.0,6.0,1.0,9.0,3.0,8.0,7.0
EMP100033,5.0,4.918201516793066,4.86058981233244,1.0,2.0,3.0,1.0,9.0,2.0,6.0,5.0,3.0,9.0,5.0,7.0,1.0,2.0,5.0,7.0,2.0
EMP100034,5.030711206896552,3.0,4.0,3.0,5.0,5.0,1.0,5.036314363143632,5.0,2.0,2.0,7.0,8.0,5.0,8.0,6.0,4.0,6.0,3.0,2.0
EMP100035,5.0,9.0,3.0,1.0,5.0,3.0,9.0,5.036314363143632,3.0,1.0,3.0,9.0,6.0,7.0,4.0,3.0,1.0,2.0,5.02094522019334,2.0
EMP100036,7.0,7.0,7.0,4.0,2.0,6.0,2.0,1.0,5.0158469945355195,5.099836333878887,7.0,6.0,4.996811902231668,5.026344086021505,9.0,6.0,9.0,8.0,5.0,4.0
EMP100037,8.0,6.0,4.0,9.0,4.0,1.0,5.0,3.0,9.0,2.0,2.0,8.0,7.0,2.0,1.0,8.0,1.0,9.0,2.0,8.0
EMP100038,9.0,4.918201516793066,4.0,9.0,5.0,1.0,1.0,5.0,9.0,3.0,2.0,4.0,3.0,6.0,5.0,2.0,9.0,6.0,6.0,3.0
EMP100039,3.0,9.0,1.0,6.0,4.0,5.0,9.0,9.0,3.0,8.0,2.0,6.0,2.0,4.0,4.994585814834867,2.0,9.0,6.0,7.0,5.0
EMP100040,1.0,7.0,3.0,6.0,9.0,3.0,3.0,8.0,7.0,2.0,7.0,1.0,4.996811902231668,4.0,1.0,5.0,3.0,3.0,5.02094522019334,2.0
EMP100041,3.0,1.0,4.86058981233244,7.0,4.0,3.0,3.0,7.0,9.0,4.0,5.09277238403452,8.0,8.0,3.0,1.0,4.0,1.0,5.0,6.0,4.976151761517615
EMP100042,9.0,3.0,5.0,7.0,3.0,3.0,7.0,2.0,5.0,3.0,8.0,5.0,7.0,9.0,4.0,4.0,6.0,3.0,6.0,1.0
EMP100043,7.0,3.0,8.0,5.0,4.0,1.0,6.0,8.0,1.0,8.0,8.0,4.892915980230643,1.0,8.0,2.0,5.0,3.0,8.0,5.02094522019334,1.0
EMP100044,1.0,3.0,9.0,1.0,7.0,4.0,7.0,5.0,5.0158469945355195,9.0,4.0,3.0,1.0,7.0,7.0,4.0,4.0,4.0,7.0,3.0
EMP100045,9.0,8.0,3.0,2.0,8.0,8.0,6.0,8.0,1.0,7.0,3.0,9.0,4.996811902231668,3.0,1.0,8.0,6.0,4.98696360673547,8.0,2.0
EMP100046,2.0,2.0,9.0,4.977813852813853,4.0,6.0,8.0,1.0,8.0,1.0,1.0,7.0,2.0,7.0,3.0,8.0,6.0,4.0,4.0,6.0
EMP100047,3.0,8.0,9.0,7.0,2.0,3.0,3.0,5.036314363143632,5.0158469945355195,4.0,9.0,6.0,3.0,5.0,4.0,6.0,1.0,5.0,8.0,7.0
EMP100048,3.0,2.0,6.0,5.0,2.0,1.0,9.0,6.0,1.0,7.0,5.0,1.0,3.0,3.0,9.0,5.0,5.0,1.0,3.0,4.976151761517615
EMP100049,8.0,9.0,1.0,8.0,5.065916398713826,2.0,5.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,1.0,3.0,6.0,3.0,5.0,7.0
EMP100050,5.0,8.0,8.0,2.0,3.0,1.0,2.0,5.036314363143632,1.0,2.0,5.0,1.0,9.0,8.0,6.0,3.0,6.0,6.0,6.0,8.0
EMP100051,2.0,1.0,3.0,6.0,1.0,4.0,1.0,8.0,1.0,8.0,7.0,9.0,3.0,4.0,8.0,4.9535135135135135,3.0,2.0,4.0,2.0
EMP100052,3.0,3.0,3.0,7.0,3.0,5.0,6.0,1.0,4.0,5.099836333878887,5.0,8.0,9.0,9.0,3.0,3.0,8.0,1.0,9.0,9.0
EMP100053,8.0,3.0,8.0,9.0,3.0,5.057158410451824,5.0,1.0,3.0,6.0,3.0,1.0,1.0,6.0,8.0,6.0,2.0,6.0,3.0,4.0
EMP100054,7.0,3.0,4.0,7.0,2.0,6.0,4.0,8.0,6.0,9.0,3.0,8.0,5.0,5.0,6.0,2.0,2.0,6.0,2.0,5.0
EMP100055,6.0,9.0,1.0,4.0,9.0,4.0,3.0,3.0,9.0,8.0,8.0,7.0,5.0,9.0,9.0,6.0,1.0,3.0,7.0,2.0
EMP100056,9.0,7.0,2.0,4.0,5.0,3.0,2.0,7.0,8.0,5.099836333878887,5.0,8.0,8.0,4.0,2.0,2.0,4.905609492988134,3.0,3.0,2.0
EMP100057,2.0,1.0,9.0,8.0,9.0,5.0,8.0,2.0,6.0,2.0,2.0,3.0,4.0,5.026344086021505,4.0,2.0,8.0,7.0,6.0,9.0
EMP100058,1.0,9.0,1.0,8.0,4.0,6.0,4.931536388140162,9.0,2.0,7.0,4.0,2.0,7.0,7.0,8.0,5.0,7.0,1.0,3.0,4.0
EMP100059,6.0,9.0,2.0,6.0,3.0,2.0,1.0,6.0,2.0,2.0,6.0,9.0,2.0,1.0,4.994585814834867,5.0,1.0,9.0,6.0,6.0
EMP100060,6.0,8.0,4.86058981233244,5.0,2.0,2.0,1.0,9.0,5.0158469945355195,7.0,4.0,9.0,9.0,3.0,6.0,8.0,1.0,9.0,7.0,4.0
EMP100061,5.0,4.0,4.0,3.0,4.0,5.057158410451824,5.0,8.0,4.0,3.0,8.0,4.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,9.0
EMP100062,5.0,8.0,3.0,8.0,3.0,7.0,3.0,6.0,4.0,9.0,5.0,9.0,8.0,6.0,4.994585814834867,9.0,1.0,4.98696360673547,6.0,1.0
EMP100063,1.0,2.0,7.0,5.0,4.0,1.0,3.0,1.0,7.0,3.0,8.0,6.0,4.0,1.0,4.0,2.0,9.0,9.0,3.0,9.0
EMP100064,9.0,6.0,1.0,8.0,3.0,5.0,1.0,8.0,9.0,8.0,7.0,4.0,5.0,7.0,1.0,5.0,1.0,3.0,3.0,6.0
EMP100065,5.0,6.0,5.0,7.0,5.0,4.0,4.931536388140162,3.0,5.0158469945355195,8.0,8.0,3.0,6.0,2.0,5.0,8.0,4.0,4.98696360673547,6.0,1.0
EMP100066,1.0,8.0,8.0,8.0,3.0,4.0,4.931536388140162,3.0,4.0,6.0,3.0,4.0,3.0,4.0,7.0,8.0,7.0,4.98696360673547,8.0,2.0
EMP100067,5.030711206896552,7.0,8.0,4.977813852813853,7.0,6.0,5.0,7.0,6.0,5.0,7.0,4.892915980230643,9.0,4.0,5.0,3.0,8.0,8.0,9.0,4.0
EMP100068,7.0,2.0,6.0,1.0,9.0,7.0,2.0,6.0,4.0,4.0,5.09277238403452,3.0,5.0,3.0,1.0,4.0,7.0,7.0,2.0,3.0
EMP100069,8.0,8.0,5.0,7.0,2.0,4.0,3.0,8.0,6.0,8.0,3.0,6.0,6.0,4.0,3.0,9.0,6.0,3.0,9.0,9.0
EMP100070,2.0,2.0,7.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,9.0,4.0,9.0,9.0,2.0,3.0,5.0,8.0
EMP100071,2.0,5.0,2.0,5.0,5.0,7.0,2.0,9.0,1.0,3.0,6.0,9.0,6.0,4.0,7.0,9.0,5.0,2.0,4.0,4.976151761517615
EMP100072,6.0,6.0,9.0,7.0,4.0,9.0,4.931536388140162,6.0,5.0158469945355195,5.0,3.0,3.0,1.0,3.0,9.0,6.0,3.0,2.0,2.0,5.0
EMP100073,9.0,5.0,2.0,2.0,2.0,4.0,4.931536388140162,8.0,8.0,4.0,5.0,6.0,6.0,9.0,9.0,9.0,2.0,5.0,5.02094522019334,5.0
EMP100074,4.0,6.0,8.0,2.0,8.0,1.0,6.0,4.0,2.0,3.0,2.0,8.0,4.0,5.0,4.0,1.0,5.0,2.0,1.0,9.0
EMP100075,8.0,9.0,4.0,4.0,4.0,3.0,8.0,2.0,5.0,8.0,5.0,3.0,8.0,3.0,7.0,2.0,4.0,4.98696360673547,8.0,7.0
EMP100076,1.0,9.0,5.0,4.977813852813853,5.0,1.0,6.0,5.0,1.0,7.0,8.0,5.0,2.0,2.0,4.994585814834867,9.0,8.0,4.98696360673547,1.0,2.0
EMP100077,5.0,4.918201516793066,9.0,7.0,2.0,2.0,6.0,3.0,1.0,2.0,5.0,7.0,3.0,3.0,7.0,7.0,1.0,5.0,6.0,9.0
EMP100078,5.0,6.0,5.0,6.0,5.0,9.0,6.0,4.0,6.0,2.0,3.0,3.0,7.0,5.0,8.0,1.0,6.0,7.0,3.0,4.976151761517615
EMP100079,3.0,8.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,5.0,5.0,9.0,8.0,8.0,5.02094522019334,9.0
EMP100080,1.0,1.0,7.0,3.0,7.0,4.0,6.0,6.0,8.0,7.0,5.09277238403452,5.0,3.0,1.0,3.0,4.0,6.0,3.0,4.0,6.0
EMP100081,9.0,2.0,3.0,4.977813852813853,6.0,2.0,6.0,2.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,6.0,1.0,1.0,8.0,6.0
EMP100082,5.0,5.0,4.0,5.0,1.0,5.057158410451824,2.0,7.0,8.0,1.0,1.0,3.0,1.0,5.026344086021505,2.0,3.0,1.0,9.0,1.0,4.0
EMP100083,5.030711206896552,5.0,7.0,8.0,2.0,5.057158410451824,8.0,3.0,2.0,9.0,4.0,7.0,5.0,3.0,4.994585814834867,4.0,4.0,9.0,8.0,6.0
EMP100084,3.0,5.0,1.0,7.0,8.0,4.0,3.0,4.0,6.0,9.0,8.0,1.0,9.0,8.0,7.0,4.9535135135135135,8.0,1.0,3.0,7.0
EMP100085,6.0,2.0,6.0,3.0,2.0,1.0,4.0,9.0,3.0,7.0,5.0,2.0,6.0,9.0,5.0,4.0,3.0,2.0,4.0,2.0
EMP100086,7.0,6.0,4.0,6.0,7.0,2.0,7.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,9.0,3.0,7.0,4.98696360673547,9.0,3.0
EMP100087,9.0,6.0,4.0,3.0,6.0,4.0,8.0,7.0,7.0,7.0,2.0,7.0,5.0,7.0,9.0,5.0,9.0,7.0,7.0,4.976151761517615
EMP100088,8.0,9.0,5.0,7.0,5.0,4.0,5.0,4.0,1.0,2.0,8.0,3.0,3.0,9.0,1.0,3.0,4.0,8.0,9.0,9.0
EMP100089,9.0,8.0,5.0,9.0,3.0,5.0,7.0,6.0,3.0,3.0,2.0,7.0,9.0,9.0,2.0,4.0,2.0,6.0,9.0,2.0
EMP100090,3.0,3.0,1.0,4.0,2.0,9.0,7.0,1.0,8.0,6.0,5.09277238403452,7.0,9.0,5.0,2.0,3.0,3.0,5.0,8.0,1.0
EMP100091,5.030711206896552,4.0,4.0,6.0,2.0,7.0,1.0,3.0,6.0,3.0,3.0,4.0,8.0,1.0,7.0,3.0,3.0,9.0,3.0,5.0
EMP100092,3.0,4.0,3.0,7.0,3.0,7.0,5.0,8.0,1.0,7.0,1.0,4.892915980230643,6.0,2.0,2.0,4.9535135135135135,5.0,9.0,6.0,6.0
EMP100093,6.0,4.0,4.86058981233244,8.0,9.0,7.0,3.0,5.0,1.0,1.0,9.0,8.0,1.0,8.0,9.0,8.0,3.0,3.0,2.0,8.0
EMP100094,2.0,7.0,6.0,4.0,9.0,1.0,8.0,7.0,6.0,5.0,2.0,6.0,9.0,3.0,9.0,6.0,6.0,3.0,2.0,4.976151761517615
EMP100095,1.0,7.0,3.0,1.0,4.0,8.0,5.0,6.0,8.0,4.0,2.0,7.0,3.0,7.0,9.0,2.0,9.0,4.98696360673547,5.0,7.0
EMP100096,5.0,4.918201516793066,6.0,2.0,2.0,9.0,3.0,5.0,1.0,7.0,7.0,2.0,7.0,4.0,2.0,1.0,4.0,5.0,9.0,9.0
EMP100097,4.0,2.0,8.0,3.0,6.0,2.0,5.0,2.0,7.0,9.0,8.0,6.0,7.0,4.0,1.0,4.9535135135135135,9.0,9.0,4.0,4.0
EMP100098,5.030711206896552,8.0,7.0,7.0,6.0,5.057158410451824,7.0,4.0,6.0,4.0,2.0,8.0,7.0,7.0,3.0,6.0,5.0,1.0,1.0,9.0
EMP100099,7.0,4.0,5.0,4.977813852813853,3.0,5.057158410451824,4.0,5.036314363143632,4.0,5.099836333878887,5.0,2.0,9.0,9.0,4.994585814834867,7.0,8.0,4.98696360673547,1.0,1.0
EMP100100,2.0,8.0,3.0,6.0,5.0,5.0,3.0,3.0,1.0,9.0,1.0,6.0,5.0,7.0,4.994585814834867,3.0,4.0,7.0,5.0,1.0
EMP100101,4.0,4.0,9.0,4.977813852813853,4.0,6.0,4.931536388140162,5.036314363143632,1.0,5.099836333878887,2.0,5.0,7.0,4.0,5.0,7.0,7.0,2.0,4.0,4.0
EMP100102,5.0,7.0,9.0,9.0,1.0,4.0,5.0,6.0,4.0,1.0,6.0,9.0,5.0,9.0,2.0,5.0,3.0,4.98696360673547,5.02094522019334,4.0
EMP100103,7.0,7.0,4.86058981233244,4.977813852813853,9.0,4.0,2.0,7.0,3.0,5.0,3.0,7.0,8.0,3.0,8.0,2.0,4.0,2.0,5.0,6.0
EMP100104,9.0,5.0,1.0,2.0,9.0,9.0,9.0,9.0,6.0,4.0,5.09277238403452,5.0,9.0,2.0,2.0,9.0,3.0,1.0,1.0,9.0
EMP100105,9.0,1.0,3.0,1.0,5.065916398713826,5.057158410451824,9.0,5.0,7.0,9.0,5.0,3.0,7.0,9.0,4.0,7.0,5.0,8.0,9.0,3.0
EMP100106,1.0,3.0,9.0,3.0,8.0,2.0,3.0,4.0,3.0,5.0,6.0,5.0,2.0,4.0,9.0,4.0,6.0,5.0,6.0,7.0
EMP100107,1.0,5.0,3.0,9.0,1.0,5.0,9.0,9.0,8.0,3.0,3.0,4.0,6.0,7.0,8.0,4.9535135135135135,5.0,3.0,2.0,9.0
EMP100108,6.0,5.0,7.0,1.0,5.0,5.057158410451824,4.0,9.0,5.0158469945355195,5.099836333878887,8.0,4.0,9.0,2.0,8.0,3.0,4.905609492988134,4.98696360673547,7.0,9.0
EMP100109,9.0,4.0,1.0,3.0,9.0,9.0,6.0,7.0,5.0158469945355195,8.0,6.0,4.892915980230643,3.0,8.0,1.0,5.0,2.0,8.0,8.0,3.0
EMP100110,5.030711206896552,3.0,9.0,8.0,2.0,6.0,7.0,1.0,2.0,8.0,3.0,4.892915980230643,5.0,4.0,1.0,9.0,5.0,8.0,1.0,4.0
EMP100111,4.0,4.918201516793066,3.0,7.0,7.0,7.0,7.0,1.0,8.0,5.0,8.0,1.0,1.0,5.0,1.0,3.0,4.0,9.0,7.0,6.0
EMP100112,1.0,4.918201516793066,7.0,5.0,6.0,7.0,4.0,8.0,5.0,2.0,6.0,2.0,1.0,7.0,2.0,7.0,5.0,1.0,7.0,2.0
EMP100113,1.0,6.0,6.0,1.0,5.065916398713826,7.0,3.0,5.036314363143632,8.0,5.0,6.0,7.0,4.0,9.0,8.0,2.0,4.0,6.0,5.02094522019334,5.0
EMP100114,5.0,4.0,2.0,4.977813852813853,2.0,9.0,2.0,8.0,9.0,7.0,8.0,2.0,3.0,5.026344086021505,7.0,8.0,3.0,5.0,8.0,4.976151761517615
EMP100115,7.0,9.0,2.0,5.0,5.0,5.057158410451824,4.0,5.0,7.0,4.0,4.0,5.0,7.0,5.026344086021505,4.0,3.0,7.0,6.0,7.0,3.0
EMP100116,4.0,2.0,3.0,1.0,7.0,5.057158410451824,9.0,9.0,5.0,4.0,8.0,1.0,2.0,5.0,9.0,2.0,6.0,8.0,7.0,5.0
EMP100117,8.0,4.918201516793066,4.86058981233244,7.0,8.0,4.0,2.0,7.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,9.0,9.0,4.0
EMP100118,3.0,8.0,9.0,7.0,8.0,8.0,5.0,9.0,2.0,3.0,3.0,6.0,6.0,6.0,7.0,2.0,1.0,3.0,4.0,7.0
EMP100119,5.0,1.0,7.0,1.0,5.065916398713826,5.0,9.0,4.0,4.0,5.0,2.0,7.0,9.0,2.0,4.994585814834867,4.0,2.0,6.0,7.0,4.976151761517615
EMP100120,4.0,2.0,4.0,4.977813852813853,5.065916398713826,3.0,5.0,9.0,2.0,9.0,4.0,2.0,9.0,5.0,2.0,4.9535135135135135,8.0,9.0,1.0,6.0
EMP100121,5.0,5.0,2.0,6.0,2.0,5.057158410451824,4.931536388140162,9.0,2.0,2.0,8.0,6.0,4.0,2.0,4.0,8.0,5.0,1.0,4.0,8.0
EMP100122,7.0,2.0,4.86058981233244,8.0,2.0,7.0,6.0,2.0,6.0,8.0,6.0,7.0,9.0,8.0,3.0,9.0,4.0,1.0,4.0,6.0
EMP100123,8.0,5.0,7.0,4.0,3.0,5.0,2.0,3.0,5.0,8.0,3.0,1.0,3.0,4.0,8.0,2.0,4.0,4.0,2.0,5.0
EMP100124,2.0,9.0,3.0,5.0,5.065916398713826,9.0,4.0,3.0,9.0,9.0,3.0,4.892915980230643,4.996811902231668,9.0,8.0,1.0,4.905609492988134,9.0,2.0,1.0
EMP100125,6.0,4.918201516793066,4.86058981233244,2.0,6.0,9.0,9.0,5.0,3.0,5.0,9.0,5.0,4.0,5.0,4.0,7.0,4.0,5.0,7.0,3.0
EMP100126,2.0,6.0,2.0,4.0,6.0,2.0,7.0,1.0,7.0,8.0,6.0,9.0,8.0,2.0,5.0,2.0,4.905609492988134,7.0,5.02094522019334,9.0
EMP100127,3.0,7.0,4.0,9.0,3.0,5.0,6.0,6.0,8.0,8.0,3.0,7.0,2.0,2.0,1.0,6.0,8.0,4.0,1.0,8.0
EMP100128,3.0,3.0,2.0,2.0,9.0,9.0,3.0,7.0,5.0,6.0,3.0,8.0,7.0,8.0,4.994585814834867,5.0,5.0,8.0,6.0,6.0
EMP100129,9.0,1.0,4.86058981233244,1.0,1.0,5.057158410451824,5.0,8.0,6.0,8.0,1.0,2.0,4.0,5.0,1.0,6.0,4.0,5.0,5.02094522019334,7.0
EMP100130,2.0,3.0,6.0,9.0,3.0,5.0,4.931536388140162,4.0,9.0,6.0,8.0,3.0,8.0,5.0,2.0,1.0,5.0,7.0,5.0,7.0
EMP100131,8.0,2.0,1.0,8.0,9.0,1.0,8.0,8.0,4.0,1.0,4.0,5.0,9.0,9.0,1.0,5.0,4.0,8.0,2.0,1.0
EMP100132,2.0,7.0,6.0,2.0,2.0,6.0,6.0,3.0,8.0,5.099836333878887,4.0,1.0,7.0,8.0,8.0,8.0,6.0,9.0,6.0,2.0
EMP100133,5.0,2.0,8.0,1.0,7.0,4.0,4.0,7.0,4.0,9.0,6.0,5.0,4.0,1.0,4.994585814834867,3.0,4.905609492988134,8.0,5.0,2.0
EMP100134,8.0,2.0,2.0,2.0,1.0,6.0,3.0,9.0,8.0,4.0,2.0,2.0,6.0,8.0,9.0,9.0,5.0,5.0,5.0,5.0
EMP100135,6.0,3.0,2.0,1.0,6.0,2.0,2.0,9.0,6.0,3.0,1.0,4.892915980230643,8.0,6.0,8.0,2.0,7.0,1.0,7.0,7.0
EMP100136,8.0,4.918201516793066,6.0,4.977813852813853,8.0,4.0,4.0,9.0,1.0,1.0,2.0,7.0,3.0,3.0,5.0,8.0,1.0,9.0,4.0,7.0
EMP100137,3.0,5.0,3.0,4.977813852813853,3.0,9.0,5.0,7.0,2.0,8.0,5.0,7.0,5.0,5.026344086021505,9.0,3.0,4.0,3.0,9.0,6.0
EMP100138,3.0,1.0,2.0,7.0,3.0,4.0,2.0,4.0,8.0,2.0,5.09277238403452,3.0,9.0,3.0,4.0,2.0,9.0,5.0,7.0,1.0
